故障唯一码,扶梯品牌,型号,故障代码,事件类型,故障原因,故障级别（平台可配置）
1,迅达,,E01,2,24VDC短路  P0T,
2,迅达,,E02,2,24VDC短路  P0B,
3,迅达,,E03,2,24VDC短路  P0A,
4,迅达,,E04,2,24VDC短路  P0T仅V54××,
5,迅达,,E05,2,24VDC短路  P0B仅V54××,
6,迅达,,E10,2,上左梳齿板触点,
7,迅达,,E11,2,上左扶手带入口触点,
8,迅达,,E12,2,上部围裙板触点,
9,迅达,,E14,2,急停,
10,迅达,,E15,2,下左梳齿板触点,
11,迅达,,E16,2,下左扶手带入口触点,
12,迅达,,E17,2,链条张紧触点,
13,迅达,,E18,2,马达超速15％,
14,迅达,,E19,2,上部驱动链条触点,
15,迅达,,E1A,2,上部烟雾探测器,
16,迅达,,E1b,2,扶手带断裂触点,
17,迅达,,E1C,2,电机欠速,
18,迅达,,E1d,2,上部梯级翘起触点,
19,迅达,,E1E,2,下部梳齿板加热,
20,迅达,,E1F,2,下部围裙板触点,
21,迅达,,E22,2,上部停止按钮1,
22,迅达,,E23,2,上部垂直梳齿板触点,
23,迅达,,E24,2,上部PTC电阻,
24,迅达,,E27,2,下部停止按钮1,
25,迅达,,E28,2,下部梯级水平触点,
26,迅达,,E29,2,下部垂直梳齿板触点,
27,迅达,,E2A,2,上部停止按钮,
28,迅达,,E2b,2,扶手带断裂触点,
29,迅达,,E2C,2,下部停止按钮,
30,迅达,,E2d,2,控制驱动故障,
31,迅达,,E2E,2,外部控制柜急停按钮,
32,迅达,,E2F,2,上部前沿板触点,
33,迅达,,E30,2,PT超速15％  INVK,
34,迅达,,E31,2,PT欠速      INVK,
35,迅达,,E32,2,左侧扶手带监控,
36,迅达,,E33,2,右侧扶手带监控,
37,迅达,,E34,2,工作制动器检查,
38,迅达,,E35,2,安全制动器,
39,迅达,,E36,2,上部梯级水平触点,
40,迅达,,E37,2,外部控制柜急停按钮1,
41,迅达,,E38,2,驱动电机接近开关INMH,
42,迅达,,E39,2,上部梯级/踏板遗失,
43,迅达,,E3A,2,上部接近开关缺损INVK,
44,迅达,,E3b,2,下部梯级/踏板遗失,
45,迅达,,E3C,2,下部接近开关缺损,
46,迅达,,E3E,2,PB超速15％  INVK,
47,迅达,,E3F,2,PB欠速  INVK,
48,迅达,,E41,2,钥匙开关停车,
49,迅达,,E42,2,中/上部围裙板触点,
50,迅达,,E43,2,驱动电机油位,
51,迅达,,E44,2,参数丢失,
52,迅达,,E45,2,PRE-A释放检查出错,
53,迅达,,E47,2,外部停车,
54,迅达,,E48,2,上右扶手带入口触点,
55,迅达,,E49,2,下右扶手带入口触点,
56,迅达,,E4A,2,上右梳齿板触点,
57,迅达,,E4b,2,下右梳齿板触点,
58,迅达,,E4C,2,安全回路断开,
59,迅达,,E4E,2,下部前沿板触点,
60,迅达,,E4F,2,停机,
61,迅达,,E50,2,左侧PT扶手带监控,
62,迅达,,E51,2,右侧PT扶手带监控,
63,迅达,,E52,2,入口监控  IRAD,
64,迅达,,E53,2,地震监控,
65,迅达,,E54,2,光栅孔,
66,迅达,,E55,2,制动器电阻,
67,迅达,,E56,2,玻璃侧板监控,
68,迅达,,E57,2,工地工程师,
69,迅达,,E58,2,光幕活动时间太长,
70,迅达,,E62,2,爬行速度太慢,
71,迅达,,E63,2,上部水位探测器,
72,迅达,,E64,2,下部急停开关,
73,迅达,,E65,2,钥匙开关,
74,迅达,,E66,2,远程停止开关,
75,迅达,,E67,2,PA柜系统状态   仅V52××,
76,迅达,,E68,2,PB-PA系统检查  仅V52××,
77,迅达,,E69,2,PA-PT系统检查  仅V52××,
78,迅达,,E6A,2,PA-PB系统检查  仅V52××,
79,迅达,,E6b,2,PT-PA系统检查  仅V52××,
80,迅达,,E6C,2,SB释放检查，PT,
81,迅达,,E6d,2,SR-U释放检查，PT,
82,迅达,,E6E,2,SR-D释放检查，PT,
83,迅达,,E6F,2,"SY,SD,SFU,SN释放检查，PT",
84,迅达,,E70,2,SGBF释放检查,
85,迅达,,E71,2,SR1-U释放检查,
86,迅达,,E72,2,SR1-D释放检查,
87,迅达,,E73,2,工作制动器接触器状态,
88,迅达,,E74,2,驱动断电,
89,迅达,,E75,2,上左驱动链触点,
90,迅达,,E76,2,桁架过热监控,
91,迅达,,E77,2,I-EVAK1/I-EVAK2,
92,迅达,,E78,2,I-EVAK1/I-EVAK2,
93,迅达,,E79,2,110VAC断路器SIS2,
94,迅达,,E7A,2,主电机断路器SIHM,
95,迅达,,E7b,2,客户提供的急停按钮2,
96,迅达,,E7C,2,工作制动器检查，PB,
97,迅达,,E7d,2,SB释放检查，PB,
98,迅达,,E7E,2,SR-U释放检查，PB,
99,迅达,,E7F,2,SR-D释放检查，PB,
100,迅达,,E80,2,"SY,SD,SFU,SN释放检查，PB",
101,迅达,,E81,2,SB接触器状态，PT,
102,迅达,,E82,2,SB接触器状态，PB,
103,迅达,,E83,2,SR-U接触器状态，PT,
104,迅达,,E84,2,SR-U接触器状态，PB,
105,迅达,,E85,2,SR-D接触器状态，PT,
106,迅达,,E86,2,SR-D接触器状态，PB,
107,迅达,,E87,2,"SY,SD,SFU,SN状态，PT",
108,迅达,,E88,2,"SY,SD,SFU,SN状态，PB",
109,迅达,,E89,2,RB释放检查，PB,
110,迅达,,E8A,2,电机欠速，PB,
111,迅达,,E8b,2,电机超速15%  INMH，PB,
112,迅达,,E8C,2,电机超速30%  INMH，PB,
113,迅达,,E8d,2,上部前沿板触点，PB,
114,迅达,,E8E,2,下部前沿板触点，PB,
115,迅达,,E8F,2,上部梯级水平触点，PB,
116,迅达,,E90,2,下部梯级水平触点，PB,
117,迅达,,E91,2,下部停止按钮，PT,
118,迅达,,E92,2,工作制动器状态，PB,
119,迅达,,E94,2,上部停止按钮，PT,
120,迅达,,EA0,2,PB硬件复位,
